step,agent,post,peers,context,tokens
0,0,"{'type': 'pro', 'text': 'Turnout in British election is distressingly low. Compulsory voting might fix this problem and increase the legitimacy of our government.'}","[0, 1, 2, 5, 9]",[],"[17278, 448, 287, 3517, 3071, 318, 17087, 4420, 1877, 13, 3082, 5753, 652, 6709, 1244, 4259, 428, 1917, 290, 2620, 262, 22726, 286, 674, 1230, 13]"
0,1,"{'type': 'pro', 'text': 'Turnout in British election is distressingly low. Compulsory voting might fix this problem and increase the legitimacy of our government.'}","[0, 1, 2, 5, 9]",[],"[17278, 448, 287, 3517, 3071, 318, 17087, 4420, 1877, 13, 3082, 5753, 652, 6709, 1244, 4259, 428, 1917, 290, 2620, 262, 22726, 286, 674, 1230, 13]"
0,2,"{'type': 'pro', 'text': 'Turnout in British election is distressingly low. Compulsory voting might fix this problem and increase the legitimacy of our government.'}","[0, 1, 2, 5, 9]",[],"[17278, 448, 287, 3517, 3071, 318, 17087, 4420, 1877, 13, 3082, 5753, 652, 6709, 1244, 4259, 428, 1917, 290, 2620, 262, 22726, 286, 674, 1230, 13]"
0,3,"{'type': 'con', 'text': 'There are many reasons why people do not vote. Up to 10 per cent of the population is not on the electoral register at any one time.'}","[3, 4, 6, 7, 8]",[],"[1858, 389, 867, 3840, 1521, 661, 466, 407, 3015, 13, 3205, 284, 838, 583, 1247, 286, 262, 3265, 318, 407, 319, 262, 13901, 7881, 379, 597, 530, 640, 13]"
0,4,"{'type': 'con', 'text': ""Some people who don't vote cannot get physically to the polling booth. Others are simply not interested in politics.""}","[3, 4, 6, 7, 8]",[],"[4366, 661, 508, 836, 470, 3015, 2314, 651, 10170, 284, 262, 13985, 18600, 13, 12691, 389, 2391, 407, 4609, 287, 4819, 13]"
0,5,"{'type': 'pro', 'text': 'Voting is compulsory in other countries, for instance in Australia. We should adopt the same system to secure greater democratic involvement.'}","[0, 1, 2, 5, 9]",[],"[53, 10720, 318, 31967, 287, 584, 2678, 11, 329, 4554, 287, 4505, 13, 775, 815, 11206, 262, 976, 1080, 284, 5713, 3744, 10518, 9750, 13]"
0,6,"{'type': 'con', 'text': ""Many people cannot get away from their work, or find someone to look after their children. And that's the reason why they don't vote.""}","[3, 4, 6, 7, 8]",[],"[7085, 661, 2314, 651, 1497, 422, 511, 670, 11, 393, 1064, 2130, 284, 804, 706, 511, 1751, 13, 843, 326, 338, 262, 1738, 1521, 484, 836, 470, 3015, 13]"
0,7,"{'type': 'con', 'text': 'There are many reasons why people do not vote. Up to 10 per cent of the population is not on the electoral register at any one time.'}","[3, 4, 6, 7, 8]",[],"[1858, 389, 867, 3840, 1521, 661, 466, 407, 3015, 13, 3205, 284, 838, 583, 1247, 286, 262, 3265, 318, 407, 319, 262, 13901, 7881, 379, 597, 530, 640, 13]"
0,8,"{'type': 'con', 'text': ""There are many reasons why people don't vote. None of these motivations can be affected by forcing people to vote – those who cannot will continue not to, and those who are not interested will vote randomly.""}","[3, 4, 6, 7, 8]",[],"[1858, 389, 867, 3840, 1521, 661, 836, 470, 3015, 13, 6045, 286, 777, 28140, 460, 307, 5676, 416, 10833, 661, 284, 3015, 784, 883, 508, 2314, 481, 2555, 407, 284, 11, 290, 883, 508, 389, 407, 4609, 481, 3015, 15456, 13]"
0,9,"{'type': 'pro', 'text': 'In the 1998 local elections, turnout averaged no more than 30 per cent, and in some areas under 20 per cent. Even in the 1997 general election, almost 30 per cent of the population did not vote.'}","[0, 1, 2, 5, 9]",[],"[818, 262, 7795, 1957, 7024, 11, 21666, 16449, 645, 517, 621, 1542, 583, 1247, 11, 290, 287, 617, 3006, 739, 1160, 583, 1247, 13, 3412, 287, 262, 8309, 2276, 3071, 11, 2048, 1542, 583, 1247, 286, 262, 3265, 750, 407, 3015, 13]"
