step,agent,post,peers,perspective,tokens,polarity,salience
0,0,"{'type': 'pro', 'text': 'Liberal democracy relies on a balance of rights. Lack of participation puts our current political system in a crisis, which requires us to restrict some personal rights and to make voting mandatory.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[46650, 7996, 16507, 319, 257, 5236, 286, 2489, 13, 38289, 286, 10270, 7584, 674, 1459, 1964, 1080, 287, 257, 4902, 11, 543, 4433, 514, 284, 4239, 617, 2614, 2489, 290, 284, 787, 6709, 13677, 13]",0.48552451160111304,7.4313005749435845
0,1,"{'type': 'con', 'text': ""Some people who don't vote cannot get physically to the polling booth. Others are simply not interested in politics.""}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[4366, 661, 508, 836, 470, 3015, 2314, 651, 10170, 284, 262, 13985, 18600, 13, 12691, 389, 2391, 407, 4609, 287, 4819, 13]",0.48552451160111304,7.4313005749435845
0,2,"{'type': 'pro', 'text': 'Voting is compulsory in other countries, for instance in Australia. We should adopt the same system to secure greater democratic involvement.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[53, 10720, 318, 31967, 287, 584, 2678, 11, 329, 4554, 287, 4505, 13, 775, 815, 11206, 262, 976, 1080, 284, 5713, 3744, 10518, 9750, 13]",0.48552451160111304,7.4313005749435845
0,3,"{'type': 'pro', 'text': 'Proxy voting and postal voting will be available for those who cannot physically get to the polling station – voting by the Internet could also be arranged for.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[44148, 6709, 290, 30793, 6709, 481, 307, 1695, 329, 883, 508, 2314, 10170, 651, 284, 262, 13985, 4429, 784, 6709, 416, 262, 4455, 714, 635, 307, 14921, 329, 13]",0.48552451160111304,7.4313005749435845
0,4,"{'type': 'con', 'text': ""The alleged crisis of democracy does not allow for infringing an individual's liberty, including the liberty to abstain from voting.""}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[464, 4260, 4902, 286, 7996, 857, 407, 1249, 329, 43498, 281, 1981, 338, 12354, 11, 1390, 262, 12354, 284, 16552, 391, 422, 6709, 13]",0.48552451160111304,7.4313005749435845
0,5,"{'type': 'con', 'text': 'Peoples right to abstain from voting should not be taken away by politicians who want to hide the fact of their upopularity and irrelevance in society.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[6435, 12614, 826, 284, 16552, 391, 422, 6709, 815, 407, 307, 2077, 1497, 416, 7602, 508, 765, 284, 7808, 262, 1109, 286, 511, 510, 404, 33737, 290, 11331, 2768, 590, 287, 3592, 13]",0.48552451160111304,7.4313005749435845
0,6,"{'type': 'con', 'text': 'Just as the right to free speech is complemented by the right to silence, so the right to vote is balanced by the right of abstention.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[5703, 355, 262, 826, 284, 1479, 4046, 318, 1224, 12061, 416, 262, 826, 284, 9550, 11, 523, 262, 826, 284, 3015, 318, 12974, 416, 262, 826, 286, 16552, 1463, 13]",0.48552451160111304,7.4313005749435845
0,7,"{'type': 'con', 'text': 'Peoples right to abstain from voting should not be taken away by politicians who want to hide the fact of their upopularity and irrelevance in society.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[6435, 12614, 826, 284, 16552, 391, 422, 6709, 815, 407, 307, 2077, 1497, 416, 7602, 508, 765, 284, 7808, 262, 1109, 286, 511, 510, 404, 33737, 290, 11331, 2768, 590, 287, 3592, 13]",0.48552451160111304,7.4313005749435845
0,8,"{'type': 'pro', 'text': 'In the 1998 local elections, turnout averaged no more than 30 per cent, and in some areas under 20 per cent. Even in the 1997 general election, almost 30 per cent of the population did not vote.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[818, 262, 7795, 1957, 7024, 11, 21666, 16449, 645, 517, 621, 1542, 583, 1247, 11, 290, 287, 617, 3006, 739, 1160, 583, 1247, 13, 3412, 287, 262, 8309, 2276, 3071, 11, 2048, 1542, 583, 1247, 286, 262, 3265, 750, 407, 3015, 13]",0.48552451160111304,7.4313005749435845
0,9,"{'type': 'con', 'text': 'Just as the right to free speech is complemented by the right to silence, so the right to vote is balanced by the right of abstention.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[5703, 355, 262, 826, 284, 1479, 4046, 318, 1224, 12061, 416, 262, 826, 284, 9550, 11, 523, 262, 826, 284, 3015, 318, 12974, 416, 262, 826, 286, 16552, 1463, 13]",0.48552451160111304,7.4313005749435845
